ID_ind	ID_pad.2	ID_mad.2
ES070806446465	0	ES000801571776
ES090802938766	0	ES000801571776
ES020806440280	0	ES000802073387
ES040807342847	0	ES000802073387
ES010802916731	0	ES000803815432
ES010806457400	0	ES000803815432
ES000806088108	0	ES000803829654
ES090804239039	0	ES000803915777
ES020802523577	0	ES000804840800
ES060807347048	0	ES000804850837
ES090805688032	0	ES000804850837
ES000807475441	0	ES000806088120
ES040808224448	ES000806088108	ES000806088120
ES020807050326	0	ES000806446457
ES040811439759	ES030807748537	ES000807906225
ES001005200929	0	ES001003205217
ES051004446819	0	ES001003205217
ES040810688329	0	ES001005601206
ES090807470503	0	ES001005601206
ES060809419878	0	ES001005606609
ES000806437229	0	ES010801571795
ES060805422822	0	ES010801571795
ES060805753731	0	ES010801571795
ES020804468315	0	ES010801578004
ES020806030946	0	ES010803066243
ES090806088129	0	ES010803066243
ES091006953995	0	ES010803066243
ES030802427848	0	ES010803915778
ES090804239266	0	ES010803915778
ES020806105808	0	ES010804839008
ES090806028181	0	ES010804839008
ES091009018033	0	ES010807336831
ES030808981209	0	ES010809446945
ES070812997535	0	ES010810550096
ES081005404065	0	ES011002770083
ES011006721104	0	ES011004861205
ES021005891613	0	ES011004861205
ES060804849712	0	ES020802073390
ES090805437426	0	ES020802073390
ES030806447022	0	ES020802934518
ES090805735049	0	ES020802934518
ES060805447734	0	ES020803623056
ES090805689342	0	ES020803623056
ES030804226018	0	ES020803915768
ES080805523753	0	ES020803915768
ES080805437016	0	ES020804359784
ES010806088121	0	ES020804850839
ES000808224444	0	ES020806030946
ES080806088117	0	ES020806030957
ES040810549069	0	ES020807049910
ES090810327117	0	ES020807049910
ES000810549087	0	ES020809130007
ES070811554465	0	ES020809130007
ES090810327128	0	ES020809130007
ES021003945856	0	ES021003057942
ES021005238018	0	ES021003057942
ES031006448611	0	ES021004446838
ES061007002887	0	ES021004446838
ES010803206443	0	ES030802155269
ES010806443391	0	ES030802155269
ES000805416346	0	ES030802515865
ES070807347050	0	ES030802515865
ES030808089048	0	ES030804454638
ES080805470840	0	ES030804454638
ES010809117429	ES070806438570	ES030808227866
ES021003050270	0	ES031003057896
ES061003341438	0	ES031003057896
ES021004198442	0	ES031003057987
ES031002558810	0	ES031003057987
ES011006721035	0	ES031003872037
ES011007312336	0	ES031004446817
ES021007775636	0	ES031004446817
ES031005891658	0	ES031004446817
ES011007775613	0	ES031005891658
ES071007312412	0	ES031005891658
ES080805753788	0	ES040804454640
ES010806506195	0	ES040804673189
ES080807290113	0	ES040804673189
ES010809965296	0	ES040805511384
ES060811087675	0	ES040805511384
ES021003205208	0	ES041002099020
ES041003538182	0	ES041002099020
ES001003050267	0	ES041003057955
ES001006036798	0	ES041003057955
ES031003057987	0	ES041003057955
ES071003050264	0	ES041003173003
ES051007312374	0	ES041003538182
ES031007775648	0	ES041004861242
ES031202234797	0	ES041202397478
ES051202123753	0	ES041202397478
ES040805468313	0	ES050802954279
ES020802934529	0	ES050804447328
ES080803828160	0	ES050804447328
ES090805416049	0	ES050804447328
ES040806446519	0	ES050804454652
ES050805470825	0	ES050804454652
ES010803621708	0	ES050804840667
ES090806006245	0	ES050804840667
ES030813026597	0	ES050805733481
ES010810550085	0	ES050807388126
ES010811087681	0	ES050809139121
ES031007354476	0	ES051002509622
ES061004654534	0	ES051002509622
ES061004861211	0	ES051002770076
ES021007002805	0	ES051003538138
ES061007312320	0	ES051003538138
ES061007312331	0	ES051004861232
ES081007887671	0	ES051004861232
ES051007312410	0	ES051005404062
ES031007887609	0	ES051006448646
ES051007775628	0	ES051006448646
ES031007775693	0	ES051006448715
ES051009729735	0	ES051006448715
ES011202350525	0	ES051202262024
ES000806446457	0	ES060802938752
ES030805416032	0	ES060802938752
ES030809132924	0	ES060807347048
ES090809846556	0	ES060807347048
ES030812180990	0	ES060809983022
ES060811568120	0	ES060810249680
ES011004198430	0	ES061003057968
ES031007312327	0	ES061003538106
ES021006504208	0	ES061004770580
ES070803828147	0	ES070804447319
ES090806049171	0	ES070804447319
ES000806088119	0	ES070804850834
ES040804877432	0	ES070804850834
ES080805689352	0	ES070804850834
ES011004654506	0	ES071003187148
ES021004360208	0	ES071003187148
ES081007246150	0	ES071003187148
ES001005200805	ES000805915644	ES071003538152
ES011005891689	0	ES071003538152
ES031005891705	0	ES071003741917
ES051006448715	0	ES071003741917
ES071007775711	0	ES071003741917
ES051007002875	0	ES071004446800
ES071006448659	0	ES071004446800
ES020806108818	0	ES080802003401
ES040806477990	0	ES080802003401
ES040804863709	0	ES080802191611
ES000806066182	0	ES080803389606
ES000806088131	0	ES080803389606
ES090805447737	0	ES080803389617
ES020801504754	0	ES080804839005
ES030802929690	0	ES080804839005
ES090805434983	0	ES080804839005
ES001003910324	0	ES081002509625
ES041004360211	0	ES081002509625
ES041003205200	0	ES081002657033
ES061002770000	0	ES081002657033
ES041007002909	0	ES081002770104
ES051006448646	0	ES081005404065
ES071006721008	0	ES081005404065
ES031009301957	0	ES081005794500
ES041007312408	0	ES081005794500
ES001007887684	0	ES081005891631
ES031007312383	0	ES081005891631
ES011202937017	0	ES081202603015
ES091202875032	0	ES081202603015
ES090805693291	0	ES090802938766
ES010805753805	0	ES090804454667
ES060805470848	0	ES090804454667
ES010808642083	ES030807324888	ES090805693291
ES060805735068	0	ES090805693291
ES020809419874	0	ES090807673126
ES080811025906	0	ES090807673126
ES090810249672	0	ES090807745818
ES021006953910	0	ES090809130004
ES000812166497	0	ES090809425577
ES091005741853	0	ES091001550460
ES011004446815	0	ES091003217987
ES061007002934	0	ES091003217987
ES071007312376	0	ES091003217987
ES061007002809	0	ES091003872011
ES031007887654	0	ES091004446824
ES071007887681	0	ES091005200848
ES041007961701	0	ES091005444028
ES081007312377	0	ES091005741853
ES061202529525	ES091202350410	ES091202008260
ES071202445298	0	ES091202367982
ES091202046908	0	ES091202367982
ES091202283574	0	ES091202367982
