ID_ind	ID_pad.1	ID_mad.1	ID_pad.2	ID_mad.2
ES090807700602	ES050805688027	ES000803829654	ES050805688027	ES000803829654
ES090807388120	ES030804226018	ES000803915777	ES030804226018	ES000803915777
ES000809849794	ES050807701872	ES000804359771	ES050807701872	ES000804359771
ES060807701851	ES080804686120	ES000804359771	ES080804686120	ES000804359771
ES061007053244	ES010808642083	ES000806446457	ES010808642083	ES000806446457
ES070813689834	ES060810516662	ES000807906225	ES060810516662	ES000807906225
ES000811025920	ES061202728248	ES001005606609	ES061202728248	ES001005606609
ES051202958001	ES060809468068	ES001202498029	ES060809468068	ES001202498029
ES081202603015	ES081202496021	ES001202498029	ES081202496021	ES001202498029
ES090809461957	ES060807328598	ES010801578004	ES060807328598	ES010801578004
ES060807741062	ES050805688027	ES010803066243	ES050805688027	ES010803066243
ES050810328901	ES020807761204	ES010807049908	ES020807761204	ES010807049908
ES090808497917	ES040807049923	ES010807049908	ES040807049923	ES010807049908
ES020809483114	ES081003945863	ES010807336831	ES081003945863	ES010807336831
ES030811983642	ES020809983517	ES010809446945	ES020809983517	ES010809446945
ES030812077787	ES010809965296	ES010810550096	ES010809965296	ES010810550096
ES041004446874	ES080803628546	ES011002770083	ES080803628546	ES011002770083
ES010807310119	ES080804686120	ES020804359784	ES080804686120	ES020804359784
ES030807748537	ES010807347043	ES020804850839	ES010807347043	ES020804850839
ES080808272004	ES081003945863	ES020806030957	ES081003945863	ES020806030957
ES020808665138	ES040807049923	ES020807049910	ES040807049923	ES020807049910
ES031202959013	ES060809468068	ES021202496003	ES060809468068	ES021202496003
ES001202498029	ES070807329912	ES021202496003	ES070807329912	ES021202496003
ES020807734609	ES071003978454	ES030802155269	ES071003978454	ES030802155269
ES090807741076	ES050805688027	ES030802515865	ES050805688027	ES030802515865
ES010813017345	ES020809117442	ES030808227866	ES020809117442	ES030808227866
ES071004861201	ES080803628546	ES031003872037	ES080803628546	ES031003872037
ES091007887638	ES091006448640	ES031003872037	ES091006448640	ES031003872037
ES010807336831	ES040806446519	ES040804454640	ES040806446519	ES040804454640
ES090808255573	ES020806440257	ES040804849674	ES020806440257	ES040804849674
ES000808217610	ES090805688032	ES040804849674	ES090805688032	ES040804849674
ES060809437881	ES020804239269	ES040805733526	ES020804239269	ES040805733526
ES040812975141	ES020810557565	ES040805733526	ES020810557565	ES040805733526
ES040811554462	ES060810516662	ES040807470495	ES060810516662	ES040807470495
ES000812979729	ES061202728248	ES040807470495	ES061202728248	ES040807470495
ES080812166473	ES010808642083	ES040808260248	ES010808642083	ES040808260248
ES020812077786	ES090810249672	ES040808260248	ES090810249672	ES040808260248
ES011005704427	ES060805459767	ES041003173003	ES060805459767	ES041003173003
ES001006036765	ES080805753788	ES041003173003	ES080805753788	ES041003173003
ES061007887680	ES091006448640	ES041003538182	ES091006448640	ES041003538182
ES021007887664	ES021006448609	ES041004861242	ES021006448609	ES041004861242
ES030807316879	ES061002814558	ES050802954279	ES061002814558	ES050802954279
ES060807723515	ES010806446458	ES050804447328	ES010806446458	ES050804447328
ES010810234631	ES001005238094	ES050805470825	ES001005238094	ES050805470825
ES020807740725	ES011004198452	ES050805470825	ES011004198452	ES050805470825
ES020812158117	ES010809475251	ES050805733481	ES010809475251	ES050805733481
ES010811568114	ES080809425576	ES050806064590	ES080809425576	ES050806064590
ES060812166493	ES010808642083	ES050809139121	ES010808642083	ES050809139121
ES050811083525	ES050807701872	ES050809849802	ES050807701872	ES050809849802
ES060813044252	ES090811103022	ES050809849802	ES090811103022	ES050809849802
ES041003538206	ES041002532553	ES051002770076	ES041002532553	ES051002770076
ES011007887710	ES021006448609	ES051005404062	ES021006448609	ES051005404062
ES061202538242	ES061202231962	ES051202262024	ES061202231962	ES051202262024
ES020810233117	ES000808073872	ES060803656744	ES000808073872	ES060803656744
ES030807043082	ES081002814550	ES060803656744	ES081002814550	ES060803656744
ES090813044233	ES090811103022	ES060809983022	ES090811103022	ES060809983022
ES040812166151	ES090810249672	ES060810249680	ES090810249672	ES060810249680
ES051005444013	ES091003341420	ES061003057968	ES091003341420	ES061003057968
ES031007775659	ES091006448640	ES061003538106	ES091006448640	ES061003538106
ES091008015287	ES021005389561	ES061004770580	ES021005389561	ES061004770580
ES030811087672	ES010809965296	ES070809965292	ES010809965296	ES070809965292
ES050809443780	ES010810550085	ES070809965292	ES010810550085	ES070809965292
ES001005606609	ES081004654525	ES071003187148	ES081004654525	ES071003187148
ES041004861219	ES080803628546	ES071003741917	ES080803628546	ES071003741917
ES040807745813	ES041003205200	ES080802191611	ES041003205200	ES080802191611
ES070807680889	ES000806013025	ES080803073347	ES000806013025	ES080803073347
ES090808228445	ES021202289031	ES080803073347	ES021202289031	ES080803073347
ES090808272016	ES050805688027	ES080803389617	ES050805688027	ES080803389617
ES050809965289	ES000806582398	ES080805523753	ES000806582398	ES080805523753
