ID_ind	ID_pad.1	ID_mad.1
ES010805468809	ES000802524910	ES050802527936
ES010807738304	ES000802524910	ES020803668193
ES010807743325	ES000802524910	0
ES030807316857	ES000802524910	ES060802954270
ES030808074594	ES000802524910	0
ES060807045343	ES000802524910	0
ES070806001362	ES000802524910	0
ES070807045344	ES000802524910	0
ES080807316818	ES000802524910	ES040804840837
ES090807738299	ES000802524910	0
ES090807743323	ES000802524910	ES060803631887
ES020806493472	ES000802935597	0
ES030806493473	ES000802935597	0
ES030807707414	ES000802935597	ES000803636706
ES040807697858	ES000802935597	0
ES040808666520	ES000802935597	0
ES040808666531	ES000802935597	0
ES050806442869	ES000802935597	0
ES050806493475	ES000802935597	0
ES060807768061	ES000802935597	0
ES080806442840	ES000802935597	ES070802161481
ES010807663919	ES000805439661	0
ES030806074650	ES000805439661	0
ES031004867261	ES000805439661	0
ES060807675867	ES000805439661	0
ES010805755209	ES000805915655	ES090803806689
ES030805755201	ES000805915655	0
ES060805765264	ES000805915655	0
ES080805765288	ES000805915655	ES060803539751
ES090805755207	ES000805915655	0
ES090805765278	ES000805915655	0
ES070807683435	ES000806013025	ES030803794188
ES070809965292	ES000806582398	ES090807388120
ES090808497928	ES000806582398	0
ES000810803782	ES000808073872	0
ES010810233116	ES000808073872	ES060807331579
ES020809469272	ES000808073872	ES040803666393
ES020809849752	ES000808073872	0
ES030810233107	ES000808073872	0
ES040810233108	ES000808073872	0
ES050810556918	ES000808073872	ES020806493472
ES080810556922	ES000808073872	ES020803656740
ES090809469280	ES000808073872	0
ES001008431831	ES000811060476	0
ES061008886478	ES000811060476	0
ES031005891761	ES001003538100	0
ES061005404052	ES001003538100	ES041004446885
ES061006721109	ES001003538100	ES091004446835
ES071006721111	ES001003538100	ES061004446821
ES070809427004	ES001004414736	0
ES090809438263	ES001004414736	0
ES031007984172	ES001005238094	0
ES041007984173	ES001005238094	ES021004061228
ES051007287372	ES001005238094	0
ES051007984163	ES001005238094	ES051006036771
ES061007287373	ES001005238094	0
ES070809468069	ES001005238094	0
ES081007287375	ES001005238094	0
ES091007136721	ES001005238094	0
ES041008886476	ES001007984157	0
ES081008835795	ES001007984157	ES061003341438
ES081202504411	ES001202430918	0
ES081202504433	ES001202430918	0
ES081202504444	ES001202430918	0
ES060811847464	ES001202861695	0
ES060811847475	ES001202861695	0
ES061202650241	ES010802524466	0
ES091202413849	ES010802524466	0
ES091202559779	ES010802524466	0
ES000808268840	ES010802927692	ES050803806709
ES020807336218	ES010802927692	0
ES030807762764	ES010802927692	0
ES030808652476	ES010802927692	ES070806042247
ES040805765240	ES010802927692	0
ES050805755203	ES010802927692	0
ES060806490104	ES010802927692	0
ES080806490060	ES010802927692	ES080805428037
ES020808277945	ES010806063446	ES070802513487
ES050809118391	ES010806063446	ES060806440999
ES070809432058	ES010806063446	ES070806008001
ES000807700465	ES010806446458	ES030806437233
ES000807723519	ES010806446458	ES040806049187
ES020807324865	ES010806446458	ES090805422825
ES020807700456	ES010806446458	ES000806437229
ES030807324888	ES010806446458	ES050805735045
ES040807700458	ES010806446458	ES020806446459
ES040807700469	ES010806446458	0
ES040807723513	ES010806446458	ES020802934529
ES040807723524	ES010806446458	ES050801571799
ES050807700459	ES010806446458	ES080805693267
ES080808224975	ES010806446458	ES090805735049
ES080808225003	ES010806446458	0
ES090807723518	ES010806446458	ES030801571760
ES090808225004	ES010806446458	ES040802934521
ES020809424180	ES010807045348	ES020804843889
ES060809424128	ES010807045348	ES020803073749
ES060809424151	ES010807045348	ES020804844995
ES090811041163	ES010807045348	ES050808215755
ES001006914777	ES010807313572	0
ES020807779406	ES010807313572	0
ES071006914785	ES010807313572	0
ES091006919555	ES010807313572	0
ES090809130004	ES010807347043	0
ES000811060476	ES010807701618	0
ES040810945590	ES010807701618	0
ES090810539388	ES010807701618	0
ES001005533630	ES010808224412	0
ES011005533595	ES010808224412	0
ES030810440248	ES010808224412	0
ES030810440260	ES010808224412	0
ES010812997539	ES010808642083	ES090809443784
ES020812166488	ES010808642083	ES020809139979
ES030812166489	ES010808642083	ES090810249683
ES040812166491	ES010808642083	ES070811568110
ES041007281384	ES010808642083	0
ES050812166481	ES010808642083	ES050809965303
ES080812166495	ES010808642083	0
ES000811064876	ES010809117292	0
ES000811983649	ES010809117292	0
ES010811983593	ES010809117292	0
ES020811983594	ES010809117292	0
ES030811064904	ES010809117292	0
ES040811064905	ES010809117292	0
ES050811983600	ES010809117292	0
ES060811571532	ES010809117292	0
ES070811064566	ES010809117292	0
ES070811983599	ES010809117292	0
ES080811983614	ES010809117292	0
ES090811064886	ES010809117292	0
ES040813690770	ES010809132933	0
ES090813675852	ES010809132933	ES090805938617
ES000812084881	ES010809475251	0
ES000813026594	ES010809475251	0
ES010812084882	ES010809475251	0
ES010812136021	ES010809475251	ES030807752748
ES020812136000	ES010809475251	0
ES030812136023	ES010809475251	0
ES030813073225	ES010809475251	0
ES040811033126	ES010809475251	0
ES040812039608	ES010809475251	0
ES040812084874	ES010809475251	ES010806498976
ES040812084885	ES010809475251	0
ES040813026601	ES010809475251	0
ES050813026635	ES010809475251	0
ES060812158100	ES010809475251	0
ES060813026578	ES010809475251	0
ES060813026590	ES010809475251	0
ES070812039601	ES010809475251	0
ES070812084888	ES010809475251	0
ES050811109946	ES010809965296	ES040809139108
ES001008431820	ES010810464973	0
ES011009018035	ES010810464973	0
ES061009018030	ES010810464973	0
ES001003538213	ES011002770027	0
ES001004446847	ES011002770027	0
ES001004446869	ES011002770027	0
ES011003538190	ES011002770027	0
ES011004861283	ES011002770027	0
ES051004446897	ES011002770027	0
ES051004861232	ES011002770027	0
ES061003538106	ES011002770027	ES091002657089
ES071003538118	ES011002770027	0
ES071003538130	ES011002770027	0
ES071004446844	ES011002770027	ES051002099101
ES081003538197	ES011002770027	0
ES091005200848	ES011002770027	0
ES010807701618	ES011003341477	0
ES020808226691	ES011003341477	0
ES040808089050	ES011003341477	0
ES080807739042	ES011003341477	0
ES011005238095	ES011004198452	0
ES020807336843	ES011004198452	0
ES040807689929	ES011004198452	0
ES050808089051	ES011004198452	ES010805753805
ES071005813225	ES011004198452	ES031001523229
ES080808089043	ES011004198452	ES070806023208
ES091005813216	ES011004198452	0
ES091006036786	ES011004198452	ES071002453176
ES001202070016	ES011202254000	ES041202070054
ES001202313049	ES011202254000	0
ES021202496003	ES011202254000	ES051202070022
ES061202191007	ES011202254000	0
ES081202254041	ES011202254000	0
ES081202495017	ES011202254000	0
ES081202496010	ES011202254000	0
ES081202496021	ES011202254000	0
ES011202603007	ES011202496046	0
ES061202603013	ES011202496046	0
ES000809437910	ES020804239269	ES030807662850
ES000811111349	ES020804239269	0
ES010809475240	ES020804239269	ES030808232570
ES020807662326	ES020804239269	ES080804468366
ES030807662850	ES020804239269	ES040803794203
ES030810557602	ES020804239269	ES040808232559
ES060809832308	ES020804239269	ES040808228484
ES080808644542	ES020804239269	0
ES000807763491	ES020805454280	0
ES000807763560	ES020805454280	0
ES010809446945	ES020805454280	0
ES030807301938	ES020805454280	0
ES070807038021	ES020805454280	0
ES070807316646	ES020805454280	0
ES070807763567	ES020805454280	0
ES080807763513	ES020805454280	0
ES090807301898	ES020805454280	0
ES090807763569	ES020805454280	0
ES090807776437	ES020805454280	0
ES090808633648	ES020805454280	0
ES030807739036	ES020805459774	0
ES040807739037	ES020805459774	0
ES051006036771	ES020805459774	0
ES070807336837	ES020805459774	0
ES090807683380	ES020805459774	0
ES060808217638	ES020806440257	0
ES060808255547	ES020806440257	0
ES030808274561	ES020807050326	ES070807339381
ES050808230805	ES020807050326	ES040803807405
ES070808231026	ES020807050326	ES060804350292
ES090808230843	ES020807050326	0
ES040813017337	ES020807478577	0
ES060813017328	ES020807478577	0
ES060813017340	ES020807478577	0
ES070812135217	ES020807478577	0
ES071202937024	ES020807478577	0
ES081202937025	ES020807478577	0
ES000809965284	ES020807761204	0
ES000810328893	ES020807761204	0
ES010809443786	ES020807761204	0
ES010811087670	ES020807761204	0
ES010811109953	ES020807761204	ES020809443801
ES020809139991	ES020807761204	0
ES020809443798	ES020807761204	ES040807745813
ES020809443801	ES020807761204	0
ES020809443812	ES020807761204	0
ES030810328896	ES020807761204	0
ES030810941791	ES020807761204	0
ES040809443803	ES020807761204	0
ES040810249677	ES020807761204	0
ES040810328911	ES020807761204	ES070809139123
ES040811087684	ES020807761204	ES060809443792
ES050809443791	ES020807761204	0
ES050809965303	ES020807761204	0
ES050810328898	ES020807761204	0
ES060811109958	ES020807761204	ES000809443810
ES070809425597	ES020807761204	0
ES070810249669	ES020807761204	0
ES080809965293	ES020807761204	ES040806064588
ES080810249682	ES020807761204	0
ES090809443784	ES020807761204	0
ES090810249661	ES020807761204	ES020809139991
ES090811087678	ES020807761204	ES010807049919
ES000813032825	ES020808225007	0
ES020812990686	ES020808225007	0
ES070811550338	ES020808225007	0
ES070813032822	ES020808225007	0
ES080810927752	ES020808225007	0
ES090808981603	ES020808225007	0
ES090810557700	ES020808225007	ES020802161373
ES090813032824	ES020808225007	0
ES000810246312	ES020808622542	0
ES000810692172	ES020808622542	0
ES020811044518	ES020808622542	0
ES050812035685	ES020808622542	0
ES070810343360	ES020808622542	0
ES001007984157	ES020809106138	0
ES071007287329	ES020809106138	0
ES081008061386	ES020809106138	0
ES090811083518	ES020809117442	0
ES090811102994	ES020809117442	0
ES070810539386	ES020809138318	0
ES070810938349	ES020809138318	0
ES030810945588	ES020809483114	0
ES040811599907	ES020809483114	ES040809106130
ES021008431833	ES020809983006	ES031005816220
ES051008454731	ES020809983006	0
ES030811983631	ES020809983517	0
ES070811983602	ES020809983517	0
