ID_ind	ID_pad.3.x	ID_mad.3.x	ID_pad.2	ID_mad.2	ID_pad.3.y	ID_mad.3.y	ID_pad.1	ID_mad.1
ES000810249684	ES000806582398	ES050807388126	ES000806582398	ES050807388126	ES000806582398	ES050807388126	ES000806582398	ES050807388126
ES090809425577	ES000806582398	ES050807388126	ES000806582398	ES050807388126	ES000806582398	ES050807388126	ES000806582398	ES050807388126
ES090809965294	ES000806582398	ES050807388126	ES000806582398	ES050807388126	ES000806582398	ES050807388126	ES000806582398	ES050807388126
ES020808225007	ES010806446458	ES060805753731	ES010806446458	ES060805753731	ES010806446458	ES060805753731	ES010806446458	ES060805753731
ES040807324889	ES010806446458	ES060805753731	ES010806446458	ES060805753731	ES010806446458	ES060805753731	ES010806446458	ES060805753731
ES010807662869	ES020804239269	ES090806006245	ES020804239269	ES090806006245	ES020804239269	ES090806006245	ES020804239269	ES090806006245
ES020810557565	ES020804239269	ES090806006245	ES020804239269	ES090806006245	ES020804239269	ES090806006245	ES020804239269	ES090806006245
ES000809443810	ES020807761204	ES040808260248	ES020807761204	ES040808260248	ES020807761204	ES040808260248	ES020807761204	ES040808260248
ES090810249683	ES020807761204	ES040808260248	ES020807761204	ES040808260248	ES020807761204	ES040808260248	ES020807761204	ES040808260248
ES040810328897	ES020807761204	ES050806064590	ES020807761204	ES050806064590	ES020807761204	ES050806064590	ES020807761204	ES050806064590
ES070809425575	ES020807761204	ES050806064590	ES020807761204	ES050806064590	ES020807761204	ES050806064590	ES020807761204	ES050806064590
ES050810328912	ES020807761204	ES080806064606	ES020807761204	ES080806064606	ES020807761204	ES080806064606	ES020807761204	ES080806064606
ES070809425600	ES020807761204	ES080806064606	ES020807761204	ES080806064606	ES020807761204	ES080806064606	ES020807761204	ES080806064606
ES020810550100	ES020807761204	ES080807745817	ES020807761204	ES080807745817	ES020807761204	ES080807745817	ES020807761204	ES080807745817
ES060810249680	ES020807761204	ES080807745817	ES020807761204	ES080807745817	ES020807761204	ES080807745817	ES020807761204	ES080807745817
ES020810249686	ES020807761204	ES090803789481	ES020807761204	ES090803789481	ES020807761204	ES090803789481	ES020807761204	ES090803789481
ES060809443805	ES020807761204	ES090803789481	ES020807761204	ES090803789481	ES020807761204	ES090803789481	ES020807761204	ES090803789481
ES080809425576	ES020807761204	ES090803789481	ES020807761204	ES090803789481	ES020807761204	ES090803789481	ES020807761204	ES090803789481
ES020812084849	ES020810557565	ES030807662372	ES020810557565	ES030807662372	ES020810557565	ES030807662372	ES020810557565	ES030807662372
ES070812135999	ES020810557565	ES030807662372	ES020810557565	ES030807662372	ES020810557565	ES030807662372	ES020810557565	ES030807662372
ES020806952070	ES041003205200	ES040803175377	ES041003205200	ES040803175377	ES041003205200	ES040803175377	ES041003205200	ES040803175377
ES030806076350	ES041003205200	ES040803175377	ES041003205200	ES040803175377	ES041003205200	ES040803175377	ES041003205200	ES040803175377
ES000809846546	ES060807700609	ES020806030946	ES060807700609	ES020806030946	ES060807700609	ES020806030946	ES060807700609	ES020806030946
ES080809132918	ES060807700609	ES020806030946	ES060807700609	ES020806030946	ES060807700609	ES020806030946	ES060807700609	ES020806030946
ES000808267303	ES071003978454	ES000804840800	ES071003978454	ES000804840800	ES071003978454	ES000804840800	ES071003978454	ES000804840800
ES050807316882	ES071003978454	ES000804840800	ES071003978454	ES000804840800	ES071003978454	ES000804840800	ES071003978454	ES000804840800
ES040807781624	ES080805664791	ES040804673189	ES080805664791	ES040804673189	ES080805664791	ES040804673189	ES080805664791	ES040804673189
ES060808207827	ES080805664791	ES040804673189	ES080805664791	ES040804673189	ES080805664791	ES040804673189	ES080805664791	ES040804673189
ES010809106126	ES081003945863	ES061005238090	ES081003945863	ES061005238090	ES081003945863	ES061005238090	ES081003945863	ES061005238090
ES030809831186	ES081003945863	ES061005238090	ES081003945863	ES061005238090	ES081003945863	ES061005238090	ES081003945863	ES061005238090
ES051007775662	ES091006448640	ES091005741853	ES091006448640	ES091005741853	ES091006448640	ES091005741853	ES091006448640	ES091005741853
ES051008436046	ES091006448640	ES091005741853	ES091006448640	ES091005741853	ES091006448640	ES091005741853	ES091006448640	ES091005741853
