ID_mad	n
ES000801571776	2
ES000802073387	2
ES000803815432	2
ES000803829654	1
ES000803915777	1
ES000804840800	1
ES000804850837	2
ES000806088120	2
ES000806446457	1
ES000807906225	1
ES001003205217	2
ES001005601206	2
ES001005606609	1
ES010801571795	3
ES010801578004	1
ES010803066243	3
ES010803915778	2
ES010804839008	2
ES010807336831	1
ES010809446945	1
ES010810550096	1
ES011002770083	1
ES011004861205	2
ES020802073390	2
ES020802934518	2
ES020803623056	2
ES020803915768	2
ES020804359784	1
ES020804850839	1
ES020806030946	1
ES020806030957	1
ES020807049910	2
ES020809130007	3
ES021003057942	2
ES021004446838	2
ES030802155269	2
ES030802515865	2
ES030804454638	2
ES030808227866	1
ES031003057896	2
ES031003057987	2
ES031003872037	1
ES031004446817	3
ES031005891658	2
ES040804454640	1
ES040804673189	2
ES040805511384	2
ES041002099020	2
ES041003057955	3
ES041003173003	1
ES041003538182	1
ES041004861242	1
ES041202397478	2
ES050802954279	1
ES050804447328	3
ES050804454652	2
ES050804840667	2
ES050805733481	1
ES050807388126	1
ES050809139121	1
ES051002509622	2
ES051002770076	1
ES051003538138	2
ES051004861232	2
ES051005404062	1
ES051006448646	2
ES051006448715	2
ES051202262024	1
ES060802938752	2
ES060807347048	2
ES060809983022	1
ES060810249680	1
ES061003057968	1
ES061003538106	1
ES061004770580	1
ES070804447319	2
ES070804850834	3
ES071003187148	3
ES071003538152	2
ES071003741917	3
ES071004446800	2
ES080802003401	2
ES080802191611	1
ES080803389606	2
ES080803389617	1
ES080804839005	3
ES081002509625	2
ES081002657033	2
ES081002770104	1
ES081005404065	2
ES081005794500	2
ES081005891631	2
ES081202603015	2
ES090802938766	1
ES090804454667	2
ES090805693291	2
ES090807673126	2
ES090807745818	1
ES090809130004	1
ES090809425577	1
ES091001550460	1
ES091003217987	3
ES091003872011	1
ES091004446824	1
ES091005200848	1
ES091005444028	1
ES091005741853	1
ES091202008260	1
ES091202367982	3
