ID_pad	n
ES000802524910	11
ES000802935597	10
ES000805439661	4
ES000805915655	6
ES000806013025	1
ES000806582398	2
ES000808073872	9
ES000811060476	2
ES001003538100	4
ES001004414736	2
ES001005238094	8
ES001007984157	2
ES001202430918	3
ES001202861695	2
ES010802524466	3
ES010802927692	8
ES010806063446	3
ES010806446458	14
ES010807045348	4
ES010807313572	4
ES010807347043	1
ES010807701618	3
ES010808224412	4
ES010808642083	7
ES010809117292	12
ES010809132933	2
ES010809475251	18
ES010809965296	1
ES010810464973	3
ES011002770027	13
ES011003341477	4
ES011004198452	8
ES011202254000	8
ES011202496046	2
ES020804239269	8
ES020805454280	12
ES020805459774	5
ES020806440257	2
ES020807050326	4
ES020807478577	6
ES020807761204	26
ES020808225007	8
ES020808622542	5
ES020809106138	3
ES020809117442	2
ES020809138318	2
ES020809483114	2
ES020809983006	2
ES020809983517	3
ES020810557565	12
ES021003945867	2
ES021004861206	3
ES021005389561	14
ES021006448609	10
ES021202235562	2
ES021202289031	4
ES021202509090	6
ES021202876016	4
ES030804226018	2
ES030806088098	2
ES030807310111	5
ES030808228483	3
ES030809983018	8
ES031003910316	3
ES031004455658	5
ES031006982498	2
ES031202410617	11
ES040804678322	4
ES040804877432	4
ES040806446519	6
ES040807049923	5
ES040807336834	3
ES040807700618	3
ES040808224448	5
ES040810549081	2
ES041002532553	21
ES041003205200	22
ES041006038287	8
ES041007110866	4
ES050804678312	2
ES050805429786	3
ES050805688027	14
ES050807302024	2
ES050807701872	5
ES050809092856	3
ES051005444013	2
ES051006037230	2
ES051006504245	4
ES051006982490	2
ES051202123753	6
ES060803074406	5
ES060805459767	3
ES060805549837	4
ES060806064591	2
ES060806490104	4
ES060807328598	3
ES060807700609	16
ES060807701851	5
ES060807701873	7
ES060807768061	2
ES060809468068	14
ES060809468444	7
ES060810516662	13
ES061002814558	2
ES061202231962	12
ES061202728248	2
ES070802161823	4
ES070803786082	5
ES070804686107	3
ES070804858087	8
ES070807329912	2
ES070807347061	2
ES070809459013	2
ES070810539386	3
ES071003050264	9
ES071003978454	6
ES071007110870	2
ES071202467123	7
ES080803628546	8
ES080804686120	2
ES080805664791	8
ES080805696824	7
ES080805753788	2
ES080806488548	5
ES080806490060	4
ES080807041183	3
ES080807478835	3
ES080807769339	2
ES080808225003	2
ES080809425576	3
ES080809462573	2
ES080811025906	2
ES080811554444	2
ES081002627860	2
ES081002814550	2
ES081003050481	4
ES081003945863	11
ES081004654525	2
ES081007110848	11
ES081202496021	1
ES081202556008	2
ES081202598533	2
ES090702500239	6
ES090803397105	4
ES090804239266	5
ES090805688032	14
ES090808956957	2
ES090810249672	9
ES090811103022	7
ES091003341420	3
ES091006448640	7
ES091006879601	4
ES091007775611	3
ES091202720350	2
